grid_id,planning_area,region
2240104,Sembawang,North
1180160,Tampines,East
1180184,Changi Bay,East
1770037,Western Water Catchment,West
1770053,Western Water Catchment,West
1770061,Western Water Catchment,West
1770073,Sungei Kadut,North
1770085,Central Water Catchment,North
1770093,Central Water Catchment,North
1770105,Ang Mo Kio,North-East
1410053,Jurong West,West
1410065,Bukit Batok,West
1410081,Bukit Panjang,West
1410089,Central Water Catchment,North
1410097,Central Water Catchment,North
1410101,Central Water Catchment,North
1410105,Bishan,Central
1410109,Bishan,Central
1410121,Serangoon,North-East
1410145,Tampines,East
1410149,Tampines,East
1410153,Tampines,East
1410165,Changi,East
1410173,Changi,East
1410181,Changi,East
2000038,Western Water Catchment,West
2000046,Lim Chu Kang,North
2000070,Sungei Kadut,North
2000082,Woodlands,North
2000090,Mandai,North
1420160,Tampines,East
460072,Western Islands,West
1680200,North-Eastern Islands,North-East
1050027,Pioneer,West
1050039,Boon Lay,West
1050063,Jurong East,West
1050087,Queenstown,Central
1050095,Tanglin,Central
1050099,River Valley,Central
1050107,Rochor,Central
1860158,North-Eastern Islands,North-East
1640204,North-Eastern Islands,North-East
2230091,Sembawang,North
2230095,Sembawang,North
690103,Bukit Merah,Central
1870095,Yishun,North
1870107,Yishun,North
920076,Queenstown,Central
920084,Queenstown,Central
920092,Bukit Merah,Central
920116,Marina South,Central
1510021,Western Water Catchment,West
1510025,Western Water Catchment,West
1510037,Western Water Catchment,West
1510049,Tengah,West
1510053,Tengah,West
1510057,Tengah,West
1510077,Bukit Panjang,West
1510105,Bishan,Central
1510109,Bishan,Central
1510129,Hougang,North-East
1510137,Paya Lebar,East
1890117,Seletar,North-East
1890121,Seletar,North-East
1890129,Seletar,North-East
1890137,Punggol,North-East
1150017,Tuas,West
1150033,Pioneer,West
1150037,Pioneer,West
1150053,Jurong East,West
1150057,Jurong East,West
1150061,Jurong East,West
1150085,Bukit Timah,Central
1150109,Kallang,Central
1150113,Kallang,Central
1150133,Geylang,Central
1150145,Bedok,East
1150157,Bedok,East
1150169,Changi,East
1740030,Western Water Catchment,West
1890193,North-Eastern Islands,North-East
200072,Western Islands,West
1120152,Bedok,East
1890201,North-Eastern Islands,North-East
1830127,Punggol,North-East
1890209,North-Eastern Islands,North-East
1890213,North-Eastern Islands,North-East
790011,Tuas,West
790015,Tuas,West
1380096,Central Water Catchment,North
1380100,Central Water Catchment,North
1380104,Bishan,Central
1380128,Hougang,North-East
1380132,Paya Lebar,East
1770121,Sengkang,North-East
1380156,Tampines,East
1770129,Sengkang,North-East
1970047,Lim Chu Kang,North
1970063,Sungei Kadut,North
1970067,Sungei Kadut,North
1970071,Sungei Kadut,North
1970075,Mandai,North
1970091,Mandai,North
1970095,Mandai,North
