poi_type;poi_cat;poi_name;lat;long
Commercial;Commercial Building;Mapletree Business City;1.27505519925581;103.799063744186
Travel;Land;Braddell MRT;1.340476;103.846806
Commercial;Commercial Building;Sandcrawler;1.299942;103.789352
Travel;Land;Boon Keng MRT;1.319579;103.861742
Recreational;Hotel;Raffles Hotel;1.294947;103.854269
Retail;Shopping Mall;City Plaza;1.31649766666667;103.882372222222
Travel;Land;Promenade MRT;1.2924745;103.8607545
Commercial;Exhibition;Suntec City Convention and Exhibition Centre;1.29370108219178;103.857315821918
Retail;Shopping Mall;JEM Jurong;1.33278635294118;103.743360117647
Retail;Shopping Mall;Orchard Point;1.301379;103.84057
Retail;Shopping Mall;Automobile Megamart;1.331534;103.901251
Travel;Land;Marina South Pier MRT;1.27198;103.86321
Retail;Shopping Mall;Orchard Plaza;1.301033;103.841096
Travel;Land;Lavender MRT;1.307398;103.86278
Industrial;Industrial Building/Estate;Globalfoundries;1.43745870071429;103.766371414286
Defence;Police/Fire Department;Police Coast Guard;1.25916;103.829306
Commercial;Commercial Building;MAS Building;1.274711;103.846665
Travel;Land;Gali Batu Depot;1.403;103.757
Recreational;Country Club;Singapore Recreation Club;1.292122;103.853719
Healthcare;Hospital;National Eye Centre;1.281481;103.836694
Retail;Shopping Mall;Tiong Bahru Plaza;1.2864940395;103.82697265
Commercial;Exhibition;Changi Exhibition Centre;1.36519029411765;104.017401647059
Travel;Land;Cashew MRT;1.369322;103.764281
Retail;Shopping Mall;Millenia Walk;1.29261320875;103.859998825
Retail;Shopping Mall;NEX @ Serangoon;1.35049711076923;103.872485596154
Commercial;Commercial Building;Fuji Xerox Towers;1.27315833333333;103.843692333333
Travel;Land;Bras Basah MRT;1.296981;103.850606
Commercial;Commercial Building;Hyflux Innovation Centre;1.317265;103.863441
Government;Public Facility;Marine Parade Library;1.3048796;103.9096744
Travel;Land;Tanjong Pagar MRT;1.276604;103.845899
Retail;Shopping Mall;Holland Road Shopping Centre;1.310265;103.795344
Commercial;Commercial Building;Seagate Technology Woodlands;1.433907;103.803442
Recreational;Hotel;The Elizabeth Hotel;1.3081558;103.8357918
Travel;Land;Haw Par Villa MRT;1.282541;103.781736
Commercial;Commercial Building;StarHub Tai Seng Building;1.337733;103.893674
Education;Primary School;Henry Park Primary School;1.3167;103.784302
Government;Government Building;National Parks Board;1.31543938916667;103.8164305
Industrial;Industrial Building/Estate;JTC (Flatted Factory);1.440978;103.783657
Recreational;Country Club;SAFRA Town Club;1.288157;103.847381
Retail;Shopping Mall;Citylink Mall;1.2924897176;103.85458492
Commercial;Commercial Building;Prudential Services;1.280109;103.849294
Commercial;Commercial Building;Micron SemiConductor;1.3178;103.864656
Recreational;Hotel;W Hotel;1.246243;103.842378
Government;Prison;Changi Prison Admin Block;1.35803;103.971334
Commercial;Commercial Building;Certis Cisco Centre;1.321971;103.892265
Recreational;Hotel;Conrad Centennial Singapore;1.293517;103.858765
Travel;Land;BuangKok MRT;1.391689;103.895484
Retail;Shopping Mall;Parklane Shopping Mall;1.300634;103.849442
Commercial;Commercial Building;Tourism Court;1.3036700245;103.82399375
Commercial;Commercial Building;AIA Tower;1.281991;103.85113
Government;Public Facility;PPT Lodge 1B Workers Dormitory;1.41824;103.89719
Recreational;Hotel;Ritz Carlton Hotel;1.290723;103.860057
Commercial;Commercial Building;Seagate;1.377663;103.872874
Retail;Shopping Mall;ION Orchard;1.30400657142857;103.831991809524
Travel;Tunnel;KPE Ventilator Building A;1.294647;103.875846
Recreational;Hotel;Parkroyal Kitchener Road;1.310483;103.855614
Education;University;NUS Utown Stephen Riady Centre;1.304587;103.772522
Recreational;Hotel;Hotel Mercure;1.299594;103.853061333333
Government;Government Building;The Treasury;1.290846;103.849666
Commercial;Commercial Building;DBS Asia Hub;1.33341375862069;103.96512537931
Retail;Shopping Mall;Singapore Shopping Centre;1.298132;103.8441404
Recreational;Hotel;Orchid Hotel;1.276901;103.843866
